Acid	Acid
Ammonia	Ammonia
Anesthetics	Anesthetics
AnimalFeed	Animal feed
Antibiotics	Antibiotics
Biomass	Biomass
Bread	Bread
Brine	Brine
BrokenGlass	Broken glass
Cake	Cake
Canola	Canola
CarbonDioxide	Carbon dioxide
CargoShip	Cargo ship
Cement	Cement
Chicken	Chicken
ChickenCarcass	Chicken carcass
ChilledWater	Chilled water
Chlorine	Chlorine
Coal	Coal
Compost	Compost
ConcreteSlab	Concrete slab
ConstructionParts	Construction Parts
ConstructionParts2	Construction Parts II
ConstructionParts3	Construction Parts III
ConstructionParts4	Construction Parts IV
ConsumerElectronics	Consumer electronics
CookingOil	Cooking oil
Copper	Copper
CopperOre	Copper ore
CopperOreCrushed	Copper ore crushed
CopperScrap	Copper scrap
Corn	Corn
CornMash	Corn mash
CrudeOil	Crude oil
Diesel	Diesel
Dirt	Dirt
Disinfectant	Disinfectant
Eggs	Eggs
Electronics	Electronics
Electronics2	Electronics II
Electronics3	Electronics III
Ethanol	Ethanol
Exhaust	Exhaust
Fertilizer	Fertilizer I
Fertilizer2	Fertilizer II
FertilizerOrganic	Fertilizer (organic)
FilterMedia	Filter media
Flour	Flour
Flowers	Flowers
FoodPack	Food pack
Fruit	Fruit
FuelGas	Fuel gas
Glass	Glass
GlassMix	Glass mix
Gold	Gold
GoldOre	Gold ore
GoldOreConcentrate	Gold ore concentrate
GoldOreCrushed	Gold ore crushed
GoldOrePowder	Gold ore powder
GoldScrap	Gold scrap
Graphite	Graphite
Gravel	Gravel
HeavyOil	Heavy oil
HouseholdAppliances	Household appliances
HouseholdGoods	Household goods
Hydrogen	Hydrogen
HydrogenFluoride	Hydrogen fluoride
ImpureCopper	Impure copper
Iron	Iron
IronOre	Iron ore
IronOreCrushed	Iron ore crushed
IronScrap	Iron scrap
LabEquipment	Lab Equipment
LabEquipment2	Lab Equipment II
LabEquipment3	Lab Equipment III
LabEquipment4	Lab Equipment IV
LightOil	Light oil
Limestone	Limestone
Meat	Meat
MeatTrimmings	Meat trimmings
MechanicalParts	Mechanical Parts
MedicalEquipment	Medical equipment
MedicalSupplies	Medical Supplies
MedicalSupplies2	Medical Supplies II
MedicalSupplies3	Medical Supplies III
MediumOil	Medium oil
Microchips	Microchips
MicrochipsStage1A	Microchips stage 1 a
MicrochipsStage1B	Microchips stage 1 b
MicrochipsStage1C	Microchips stage 1 c
MicrochipsStage2A	Microchips stage 2 a
MicrochipsStage2B	Microchips stage 2 b
MicrochipsStage2C	Microchips stage 2 c
MicrochipsStage3A	Microchips stage 3 a
MicrochipsStage3B	Microchips stage 3 b
MicrochipsStage3C	Microchips stage 3 c
MicrochipsStage4A	Microchips stage 4 a
MicrochipsStage4B	Microchips stage 4 b
MoltenCopper	Molten copper
MoltenGlass	Molten glass
MoltenIron	Molten iron
MoltenSilicon	Molten silicon
MoltenSteel	Molten steel
Morphine	Morphine
Naphtha	Naphtha
Nitrogen	Nitrogen
NitrogenLiquidTank	Liquid Nitrogen
Oxygen	Oxygen
PCB	PCB
Plastic	Plastic
PolySilicon	Silicon (poly)
Poppy	Poppy
Potato	Potato
Quartz	Quartz
Recyclables	Recyclables
Rock	Rock
Rubber	Rubber
Salt	Salt
Sand	Sand
Sausage	Sausage
Seawater	Seawater
Server	Server
SiliconWafer	Silicon wafer
Slag	Slag
SlagCrushed	Slag crushed
Sludge	Sludge
Snack	Snack
SolarCell	Solar cell
SolarCellMono	Solar cell mono
SourWater	Sour water
Soybean	Soybean
SpentFuel	Spent fuel
SteamDepleted	Steam depleted
SteamHi	Steam hi
SteamLP	Steam lo
Steel	Steel
Sugar	Sugar
SugarCane	Sugar cane
Sulfur	Sulfur
Tofu	Tofu
ToxicSlurry	Toxic slurry
UraniumOre	Uranium ore
UraniumOreCrushed	Uranium ore crushed
UraniumPellets	Uranium pellets
UraniumRod	Uranium rod
Vegetables	Vegetables
VehicleParts	Vehicle Parts
VehicleParts2	Vehicle Parts II
VehicleParts3	Vehicle Parts III
Virtual_Computing	Computing
Virtual_Electricity	Electricity
Virtual_Groundwater	Groundwater
Virtual_MaintenanceT1	Maintenance I
Virtual_MaintenanceT2	Maintenance II
Virtual_MaintenanceT3	Maintenance III
Virtual_MechPower	Mechanical power
Virtual_PollutedAir	Air pollution
Virtual_PollutedWater	Water pollution
Virtual_Upoints	Unity
Waste	Waste
WasteWater	Waste water
Water	Water
Wheat	Wheat
Wood	Wood
YellowCake	Yellow cake
