identifier	name	machine	duration	input1name	input1qty	input2name	input2qty	input3name	input3qty	input4name	input4qty	input5name	input5qty	input6name	input6qty	output1name	output1qty	output2name	output2qty	output3name	output3qty	output4name	output4qty	output5name	output5qty	output6name	output6qty	file
Ids.Recipes.GoldSmelting	Gold smelting	Gold furnace	30	Gold ore concentrate	6	Sand	1									Gold	3											GoldFurnaceData.cs
Ids.Recipes.GoldScrapSmelting	Gold smelting	Gold furnace	30	Gold scrap	3											Gold	3	Exhaust	3									GoldFurnaceData.cs
Ids.Recipes.FuelGasSynthesis	FuelGas synthesis	Chemical plant II	20	Hydrogen	8	Carbon dioxide	8									Fuel gas	8											ChemicalPlantData.cs
Ids.Recipes.GraphiteProduction	Graphite production	Chemical plant II	40	Coal	4	Chlorine	2									Graphite	8	Sour water	4									ChemicalPlantData.cs
Ids.Recipes.GraphiteProductionCo2	Graphite production	Chemical plant II	20	Carbon dioxide	24											Graphite	1											ChemicalPlantData.cs
Ids.Recipes.AnestheticsProduction	Anesthetics production	Chemical plant II	20	Ammonia	2	Hydrogen fluoride	4	Steel	1							Anesthetics	8											ChemicalPlantData.cs
Ids.Recipes.MorphineProduction	Morphine production	Chemical plant II	20	Poppy	4	Acid	2	Glass	2							Morphine	8											ChemicalPlantData.cs
Ids.Recipes.AmmoniaSynthesis	Ammonia synthesis	Chemical plant	40	Hydrogen	4	Nitrogen	8									Ammonia	4											ChemicalPlantData.cs
Ids.Recipes.AmmoniaSynthesisT2	Ammonia synthesis	Chemical plant II	20	Hydrogen	4	Nitrogen	8									Ammonia	4											ChemicalPlantData.cs
Ids.Recipes.DisinfectantProduction	Disinfectant production	Chemical plant	40	Ethanol	3	Plastic	2									Disinfectant	8											ChemicalPlantData.cs
Ids.Recipes.DisinfectantProductionT2	Disinfectant production	Chemical plant II	20	Ethanol	3	Plastic	2									Disinfectant	8											ChemicalPlantData.cs
Ids.Recipes.EthanolCookingOilReforming	Fuel transesterification	Chemical plant	40	Ethanol	5	Cooking oil	12									Diesel	18											ChemicalPlantData.cs
Ids.Recipes.EthanolCookingOilReformingT2	Fuel transesterification	Chemical plant II	20	Ethanol	5	Cooking oil	12									Diesel	18											ChemicalPlantData.cs
Ids.Recipes.FertilizerProduction	Fertilizer synthesis	Chemical plant	40	Ammonia	4	Nitrogen	12	Water	4							Fertilizer I	8											ChemicalPlantData.cs
Ids.Recipes.FertilizerProductionT2	Fertilizer synthesis	Chemical plant II	20	Ammonia	4	Nitrogen	12	Water	4							Fertilizer I	8											ChemicalPlantData.cs
Ids.Recipes.LiquidNitrogen	Liquid nitrogen production	Chemical plant	20	Nitrogen	6	Steel	2									Liquid Nitrogen	4											ChemicalPlantData.cs
Ids.Recipes.LiquidNitrogenT2	Liquid nitrogen production	Chemical plant II	10	Nitrogen	6	Steel	2									Liquid Nitrogen	4											ChemicalPlantData.cs
Ids.Recipes.CopperElectrolysis	Copper purification (acid)	Copper electrolysis	40	Impure copper	16	Acid	4									Copper	16											CopperElectrolysisData.cs
Ids.Recipes.CopperElectrolysisWithWater	Copper purification (water)	Copper electrolysis	40	Impure copper	16	Water	4									Copper	13											CopperElectrolysisData.cs
Ids.Recipes.CharcoalBurning	Charcoal making	Coal maker	40	Wood	20											Coal	4											CharcoalMakerData.cs
Ids.Recipes.WheatMilling	Wheat milling	Mill	30	Wheat	8											Flour	8	Animal feed	1									FoodMillData.cs
Ids.Recipes.SoybeanMilling	Soybean milling	Mill	30	Soybean	8											Cooking oil	3	Animal feed	4									FoodMillData.cs
Ids.Recipes.CanolaMilling	Canola milling	Mill	30	Canola	8											Cooking oil	6	Animal feed	2									FoodMillData.cs
Ids.Recipes.CornMilling	Corn milling (wet)	Mill	40	Corn	8	Water	2									Corn mash	6	Animal feed	2									FoodMillData.cs
Ids.Recipes.RubberProductionNaphtha	Rubber production	Rubber maker	20	Naphtha	4	Sulfur	1									Rubber	6											VacuumDistillationTowerData.cs
Ids.Recipes.RubberProductionNaphthaAlt	Rubber production (coal)	Rubber maker	30	Naphtha	4	Coal	1									Rubber	6	Waste water	1									VacuumDistillationTowerData.cs
Ids.Recipes.RubberProductionEthanol	Rubber production (ethanol)	Rubber maker	20	Ethanol	4	Sulfur	1									Rubber	6											VacuumDistillationTowerData.cs
Ids.Recipes.RubberProductionDiesel	Rubber production (alt)	Rubber maker	20	Diesel	4	Sulfur	1									Rubber	6											VacuumDistillationTowerData.cs
Ids.Recipes.RubberProductionDieselWithCoal	Rubber production (coal) (alt)	Rubber maker	30	Diesel	4	Coal	1									Rubber	6	Waste water	2									VacuumDistillationTowerData.cs
